slide,OB,CB,FB,GC,HN,VR
2021-12-05 12.41.10,0,0,0,0,0,681
2021-12-05 12.51.55,734,0,0,0,0,0
2021-12-05 12.59.59,1026836,15118,0,0,57802,24377
2021-12-05 13.06.40,111994,671,0,0,1539,810
2021-12-05 13.12.05,2229912,11704,0,0,5260,64680
2021-12-05 13.25.57,834989,5925,2074,0,990,481
2021-12-05 13.31.43,439158,0,0,0,11580,40445
2021-12-05 13.37.09,308087,2810,0,0,56708,100
2021-12-05 13.40.57,640538,0,486,0,729,715
2021-12-05 13.46.59,533523,0,0,0,959,629
2021-12-05 13.52.41,486346,988,0,0,1497,2632
2021-12-05 13.56.33,180081,0,5474,0,0,0
2021-12-05 14.01.26,1777143,0,677,0,0,15951
2021-12-05 14.09.32,331875,0,97994,0,324,6905
2021-12-05 14.12.42,257574,0,0,0,13404,1014
2021-12-05 14.16.07,361996,0,0,0,20358,8401
2021-12-05 14.20.59,453679,0,0,0,6744,14774
2021-12-05 14.24.14,340585,2886,0,0,5896,2586
2021-12-05 14.29.40,609115,2479,4228,0,1781,0
2021-12-05 14.35.20,1206131,20535,0,0,3020,24540
2021-12-05 14.41.26,253632,663,4745,0,0,0
2021-12-05 14.46.36,111201,0,342,0,0,5007
2021-12-05 14.51.40,469420,65648,37100,0,288770,0
2021-12-05 14.59.02,417688,247420,0,0,181803,648
2021-12-05 15.06.23,146665,0,1242,0,0,32019
2021-12-05 15.08.34,179569,0,0,0,0,2044
2021-12-05 15.11.44,28068,0,0,0,19,0
2021-12-05 15.13.55,2243,0,0,0,0,2448
2021-12-05 15.22.46,261529,26734,0,0,25253,77881
2021-12-05 15.29.32,118745,19839,0,0,581,974
2021-12-05 15.32.31,433635,0,0,0,7829,73324
2021-12-06 07.22.56,818411,0,326,0,18717,23520
2021-12-06 07.34.58,267429,2,0,324,9378,959
2021-12-06 07.38.35,777696,1038,0,485,49154,15346
2021-12-06 07.46.11,268042,2524,0,0,1003,2728
2021-12-06 07.49.39,205433,3190,0,0,12039,3178
2021-12-06 07.52.45,31425,0,0,0,6936,0
2021-12-06 07.56.00,226137,288,0,0,6028,24602
2021-12-06 08.00.25,626143,2242,2102,0,547959,330431
2021-12-08 17.16.19,612515,342,5814,0,0,0
2021-12-08 17.24.17,697672,6726,0,342,55733,622
2021-12-08 17.30.30,388662,0,1157,0,1219,23286
2021-12-08 17.40.58,536886,0,183144,0,0,1465
2021-12-08 17.50.41,299158,0,0,0,11183,513
2021-12-08 17.57.14,154449,324,0,0,9708,828
2021-12-08 18.10.20,450571,828,0,0,69354,1559
